Post Date,Description,Debit,Credit
9/14/2022,Withdrawal ACH LendingClub/TYPE: 8885963157 ID: 8510605731 DATA: Y CO: LendingClub,498.15,
9/14/2022,Recurring Withdrawal DEBIT CARD/MCW308-WHITESTONE 866-2543229 TX Date 09/13/22 24071052256939125628607 Card 0718Merchant Category Code: 7542,19.99,
9/14/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 09/13/22 24427332256740274879893 Card 4969Merchant Category Code: 5411,208.09,
9/14/2022,Withdrawal DEBIT CARD/TEXASGASSERVICE 800-700-2443 OK Date 09/13/22 24492152256719776006165 Card 0718Merchant Category Code: 4900,32.58,
9/14/2022,Withdrawal DEBIT CARD/AMERCIAN BOLT COMPANY AUSTIN TX Date 09/13/22 24801972256726153404902 Card 3341Merchant Category Code: 5085,56.07,
9/14/2022,"Deposit/Bill.com, LLC Visa Direct CA Date 09/14/22 0 2257698795 2 5734 Card 0001Merchant Category Code: 5734",,2048.88
9/13/2022,Withdrawal POS #225600112764/POS DOLLAR-GENERAL #6625 DG 066252802 S BAGDAD R LEANDER TX Card 4969Merchant Category Code: 5310,14.87,
9/13/2022,Withdrawal ATM Fee/ATM CHASE 6200 BEE CAVE RD AUSTIN TX Card 0718 Merchant Category Code: 6011,1,
9/13/2022,Withdrawal at ATM #225618379285/ATM CHASE 6200 BEE CAVE RD AUSTIN TX Card 0718 Merchant Category Code: 6011,343.5,
9/13/2022,Withdrawal DEBIT CARD/CHEVRON 0107135 AUSTIN TX Date 09/13/22 24692162256104523860163 Card 2675Merchant Category Code: 5542,51.25,
9/13/2022,Withdrawal POS #225600930998/POS 7-ELEVEN 3625 Bee Cave Rd US Austin Card 2675 Merchant Category Code: 5542,34.32,
9/13/2022,Deposit Bulk/Checks 324.43 Check Count 2 Deposit Number 0000024,,324.43
9/13/2022,Withdrawal ACH DISCOVER/TYPE: E-PAYMENT ID: 2510020270 DATA: DC PYMNTS DCIINTNET CO: DISCOVER NAME: GALO BLAKE,204.18,
9/13/2022,Deposit ACH PEAK6 GROUP/TYPE: PAYMENT ID: 1364166492 CO: PEAK6 GROUP,,1194.72
9/13/2022,Withdrawal POS #225600136186/POS 7-ELEVEN 3324 NORTHLAND DR US AUSTIN TX Card 2675Merchant Category Code: 5541,1.61,
9/13/2022,Withdrawal DEBIT CARD/Champions School-Austin Spring TX Date 09/12/22 24453882256002863998720 Card 4969Merchant Category Code: 8299,22,
9/13/2022,"Withdrawal DEBIT CARD/IN *KRISTY R. CORTEZ, PC 512-8352635 TX Date 09/12/22 24692162255104078523555 Card 0001Merchant Category Code: 8931",706.5,
9/13/2022,Uncollected Fee/Due since 09/10/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/09/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/09/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/09/22 - Overdrawn ACH,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - UNPAIDNSF,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Ck,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Ck,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-ACH,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-ACH,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/08/22 - Courtesy Pay-Dbt,34,
9/13/2022,Uncollected Fee/Due since 09/07/22 - Courtesy Pay-Ck,34,
9/13/2022,Uncollected Fee/Due since 09/07/22 - Courtesy Pay-Ck,34,
9/13/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 09/12/22 24055232255762366479467 Card 0001Merchant Category Code: 4784,45,
9/13/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 09/12/22 24055232255762219456944 Card 0001Merchant Category Code: 4784,15,
9/12/2022,Check 2699 Tracer 829100000553249,100,
9/12/2022,Check 2664 Tracer 829100000554051,250,
9/12/2022,Withdrawal DEBIT CARD/TARGET 00017970 AUSTIN TX Date 09/12/22 24164072255091016133839 Card 4969Merchant Category Code: 5310,32.47,
9/12/2022,Withdrawal POS #225500207202/POS 7-ELEVEN 14016 FM 620 North US TX Card 4969Merchant Category Code: 5542,57.09,
9/12/2022,"Withdrawal Transfer/To HERNANDEZ,MARTHA 331014 Loan 02",447.78,
9/12/2022,Recurring Withdrawal Bill Payment - #225531301956/BP NNT MSFT *&lt;E0500K8Z730461 One Way MSBILL.INFO WA Card 0001Merchant Category Code: 5045,25.58,
9/12/2022,Recurring Withdrawal Bill Payment - #225535041421/BP NNT MSFT *&lt;E0500K8V462870 One Way MSBILL.INFO WA Card 0001Merchant Category Code: 5045,13.54,
9/12/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000040 DATA: AM CO: AMEX EPAYMENT,398,
9/12/2022,Withdrawal ACH INTUIT 89233425/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 89233425,188.16,
9/12/2022,Deposit ACH INTUIT 15209465/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 15209465,,5519.2
9/10/2022,Withdrawal DEBIT CARD/PRO SERVE ENTERPRISE AUSTIN TX Date 09/08/22 24251382252030051502060 Card 2675Merchant Category Code: 2842,12.08,
9/9/2022,Withdrawal DEBIT CARD/RANDALLS #3145 LEANDER TX Date 09/08/22 24231682252837001014469 Card 4969Merchant Category Code: 5411,39.01,
9/9/2022,Recurring Withdrawal Bill Payment - #225224700875/BP ADOBE ACROPRO SUBS 408-536-6000 CA Card 0718 Merchant Category Code: 5734,16.23,
9/8/2022,Check 2686 Tracer 828700000295447,100,
9/8/2022,Check 2682 Tracer 828700000295449,1178.47,
9/8/2022,Withdrawal Adjustment Credit Voucher/THE HOME DEPOT #6570 SUNSET VALLEY TX Date 09/07/22 74943012251010183125116 Card 4969Merchant Category Code: 5200,,50.86
9/8/2022,Withdrawal DEBIT CARD/THE HOME DEPOT #6570 SUNSET VALLEY TX Date 09/07/22 24943012251010183124981 Card 4969Merchant Category Code: 5200,50.86,
9/8/2022,Withdrawal POS #225100408830/POS 7-ELEVEN 6111 Bee Cave Rd US Austin Card 2675 Merchant Category Code: 5542,49.41,
9/8/2022,Withdrawal DEBIT CARD/CHEVRON 0155648 AUSTIN TX Date 09/08/22 24692162251100941398120 Card 2675Merchant Category Code: 5542,97.78,
9/8/2022,Withdrawal DEBIT CARD/EXXONMOBIL 48182828 AUSTIN TX Date 09/07/22 24164052251378006123748 Card 2675Merchant Category Code: 5542,30.33,
9/8/2022,Withdrawal ACH *LINCOLN NATLIFE/TYPE: PREMPAYMNT ID: 3504728231 DATA: 0018400TER CO: *LINCOLN NATLIFE,105.2,
9/8/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000040 DATA: AM CO: AMEX EPAYMENT,0.01,
9/8/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 09/07/22 24427332250740275878452 Card 3341Merchant Category Code: 5411,26.4,
9/8/2022,Withdrawal DEBIT CARD/MCW308-WHITESTONE CEDAR PARK TX Date 09/07/22 24071052250939140300477 Card 3341Merchant Category Code: 7542,8,
9/8/2022,Withdrawal DEBIT CARD/TXTAG 888 468 9824 888-468-9824 TX Date 09/07/22 24055232250762875544228 Card 3341Merchant Category Code: 4784,18.28,
9/7/2022,Check 2688 Tracer 828600000600813,250,
9/7/2022,Check 2687 Tracer 828600000601793,1037.5,
9/7/2022,Deposit Transfer From Loan 00,,99
9/7/2022,Check 2669 Tracer 828600000601794,50,
9/7/2022,Check 2662 Tracer 828600000601795,825.75,
9/7/2022,Withdrawal POS #225032413201/POS NST THE HOME DEPOT 002924 1200 HOME DEPOT BLVD SUNSET VALLEY TX Card 2675Merchant Category Code: 5200,10.79,
9/7/2022,Withdrawal POS #000000EFQRVA/POS AMAZON.COM*1F88J7FW0 SEATTLE WA Card 4969 Merchant Category Code: 4816,30.3,
9/7/2022,Withdrawal DEBIT CARD/SHORT STOP #16 AUSTIN TX Date 09/06/22 24137462250500659737732 Card 2675Merchant Category Code: 5814,16.22,
9/7/2022,Withdrawal POS #225097550301/POS NST THE HOME DEPOT 001206 3600 INTERSTATE HWY 35 AUSTIN TX Card 2675Merchant Category Code: 5200,34.17,
9/7/2022,Withdrawal Bill Payment #225028162506/BP TDS LANDFILL 800-3758375 TX Card 2675 Merchant Category Code: 4900,90,
9/7/2022,Withdrawal POS #225013226233/POS WALGREENS STORE 1505 W WH CEDAR PARK TX Card 3341Merchant Category Code: 5912,101.65,
9/7/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: INSPAYMENT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,1005.33,
9/7/2022,Withdrawal ACH INTUIT 68185175/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 68185175,34.65,
9/7/2022,Deposit ACH INTUIT 94019695/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 94019695,,1011.65
9/7/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 09/06/22 24427332249740273473284 Card 4969Merchant Category Code: 5411,104.02,
9/7/2022,Withdrawal POS #7AEFRJZBMCE0/POS AMAZON.COM*1V1KC7BE2 SEATTLE WA Card 4969 Merchant Category Code: 5942,33.49,
9/7/2022,Withdrawal DEBIT CARD/APLUS OUTDOOR POWER EQUI LEANDER TX Date 09/06/22 24801972249207966600036 Card 2675Merchant Category Code: 5046,367.07,
9/6/2022,Check 2696 Tracer 828500000857925,750,
9/6/2022,Check 2695 Tracer 828500000856714,496.13,
9/6/2022,Check 2690 Tracer 828500000857248,750,
9/6/2022,Check 2689 Tracer 828500000856439,1780,
9/6/2022,Check 2683 Tracer 828500000857249,1160,
9/6/2022,Withdrawal POS #224946922200/POS ADVANCE AUTO PARTS 6264 1902 N BELL BLVD CEDAR PARK TX Card 2675Merchant Category Code: 5533,36.79,
9/6/2022,Withdrawal POS #224900327231/POS 7-ELEVEN 6111 Bee Cave Rd US Austin Card 4969 Merchant Category Code: 5542,55.53,
9/6/2022,Withdrawal Cash,1500,
9/6/2022,Withdrawal DEBIT CARD/DD DOORDASH CHINACAFE 855-973-1040 CA Date 09/06/22 24492152249743751494006 Card 3341Merchant Category Code: 5812,135.33,
9/6/2022,Withdrawal DEBIT CARD/RANDALLS #3145 LEANDER TX Date 09/05/22 24231682249837001146549 Card 2675Merchant Category Code: 5411,98.05,
9/6/2022,"Deposit Bulk/Checks 2,956.01 Check Count 5 Deposit Number 0000074",,2956.01
9/6/2022,Withdrawal POS #1Q9XYXWAOJ23/POS AMAZON.COM*1V9AO6VI2 SEATTLE WA Card 4969 Merchant Category Code: 4816,69.25,
9/6/2022,Withdrawal ACH BKAMERICA/TYPE: IC PAYMENT ID: 1409936115 CO: BKAMERICA,877.05,
9/6/2022,Withdrawal ACH CRATE &amp; BARREL/TYPE: PAYMENT ID: 9130142001 CO: CRATE &amp; BARREL NAME: 5243041004094603,350,
9/6/2022,Withdrawal ACH CAPITAL ONE/TYPE: CRCARDPMT ID: 9541719018 CO: CAPITAL ONE,200,
9/6/2022,Deposit ACH Ternion Growth P/TYPE: SIGONFILE ID: 9000830338 DATA: 805-680-2004 CO: Ternion Growth P,,597.54
9/6/2022,Deposit ACH Ternion Growth P/TYPE: SIGONFILE ID: 9000830338 DATA: 805-680-2004 CO: Ternion Growth P,,597.54
9/5/2022,Withdrawal POS #224800991755/POS 7-ELEVEN 900 West Whiteston US Cedar Park TX Card 3341Merchant Category Code: 5542,55.94,
9/5/2022,Withdrawal POS #224800012342/POS 7-ELEVEN 900 W WHITESTONE US CEDAR PARK TX Card 3341Merchant Category Code: 5541,16.34,
9/5/2022,Withdrawal DEBIT CARD/H-E-B ONLINE 855-803-0611 TX Date 09/04/22 24231682248400000002659 Card 4969Merchant Category Code: 5411,126.93,
9/5/2022,Withdrawal POS #224812523644/POS LOWE'S #2774 LEANDER TX Card 4969 Merchant Category Code: 5200,104.92,
9/5/2022,Recurring Withdrawal Bill Payment - #224803587944/BP APPLE COM BILL CUPERTINO CA Card 0718 Merchant Category Code: 4899,2.99,
9/4/2022,Withdrawal POS #224717688698/POS SHELL SERVICE STATION AUSTIN TX Card 4969 Merchant Category Code: 5542,72.32,
9/4/2022,Withdrawal DEBIT CARD/NORTHERN TOOL EQUIP AUSTIN TX Date 09/03/22 24692162247108022748136 Card 3341Merchant Category Code: 5251,79,
9/3/2022,Withdrawal POS #224622158833/POS WALGREENS STORE 1505 W WH CEDAR PARK TX Card 3341Merchant Category Code: 5912,105.95,
9/3/2022,Withdrawal DEBIT CARD/TEXACO 0359729 CEDAR PARK TX Date 09/03/22 24692162246107498517877 Card 3341Merchant Category Code: 5542,53.8,
9/3/2022,Withdrawal POS #224612265251/POS LOWE'S #1727 AUSTIN TX Card 3341 Merchant Category Code: 5200,124.03,
9/3/2022,Withdrawal DEBIT CARD/GRAINGER 877-2022594 IL Date 09/02/22 24755422246152462974045 Card 3341Merchant Category Code: 5085,54.52,
9/2/2022,Withdrawal POS #224500110514/POS DOLLAR-GENERAL # DG 066252802 S R LEANDER TX Card 4969Merchant Category Code: 5310,26.47,
9/2/2022,Check 2676 Tracer 828100000433511,5665,
9/2/2022,Check 2672 Tracer 828100000432683,1557.67,
9/2/2022,Check 2671 Tracer 828100000432725,277.05,
9/2/2022,Check 2694 Tracer 828100000316340,350,
9/2/2022,Withdrawal POS #224500074052/POS TARGET T-2409 10107 Research Blvd Austin TX Card 4969Merchant Category Code: 5411,124.13,
9/2/2022,Check 2684 Tracer 828100000279340,1200,
9/2/2022,Withdrawal DEBIT CARD/TEXAS HONE* TEXAS HONE rob@texashone TX Date 09/02/22 24492162245000030529687 Card 0718Merchant Category Code: 5812,36.4,
9/2/2022,"Withdrawal by Check/Check 05 505619 Disbursed 1,782.53",1785.53,
9/2/2022,"Deposit Bulk/Checks 2,168.25 Check Count 3 Deposit Number 0000086",,2168.25
9/2/2022,Withdrawal POS #224513314954/POS EL RANCHO #18 8752 RESEARCH BLVD AUSTIN TX Card 3341Merchant Category Code: 5411,17.34,
9/2/2022,Withdrawal POS #224500348383/POS 7-ELEVEN 6111 Bee Cave Rd US Austin Card 0718 Merchant Category Code: 5542,115.52,
9/2/2022,Withdrawal POS #224571164200/POS SUNOCO 0953706900 3936 SOUTH IH 35 MARCOS TX Card 2675Merchant Category Code: 5542,44.02,
9/2/2022,Withdrawal ACH GUSTO/TYPE: FEE 384041 ID: 2453942850 DATA: 6semjmkgjj9 CO: GUSTO,105.53,
9/2/2022,Withdrawal ACH INTUIT 41335915/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 41335915,47.59,
9/2/2022,Deposit ACH INTUIT 67856725/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 67856725,,1623.75
9/2/2022,Recurring Withdrawal Bill Payment - #224423106084/BP HP *INSTANT INK 855-785-2777 CA Card 0001 Merchant Category Code: 5111,12.98,
9/2/2022,"Deposit/Bill.com, LLC Visa Direct CA Date 09/02/22 0 2245695687 2 5734 Card 0001Merchant Category Code: 5734",,509.05
9/2/2022,Withdrawal DEBIT CARD/LOC CITIZENS*316572522 401-2825259 CT Date 09/01/22 24638572244016037014438 Card 4969Merchant Category Code: 6012,63.76,
9/1/2022,Check 2692 Tracer 828000000515681,1000,
9/1/2022,Withdrawal Cash,500,
9/1/2022,Check 2685 Tracer 828000000389001,2520,
9/1/2022,Withdrawal DEBIT CARD/SHELL OIL 57543321004 AUSTIN TX Date 08/31/22 24316052244548009354725 Card 2675Merchant Category Code: 5542,57.01,
9/1/2022,Withdrawal POS #224414676945/POS RANDALLS #1896 CEDAR PARK TX Card 3341 Merchant Category Code: 5411,27.57,
9/1/2022,Check 2681 Tracer 828000000327001,2411.83,
9/1/2022,Check 2693 Tracer 828000000308001,2725,
9/1/2022,Check 2691 Tracer 828000000121001,2942.5,
9/1/2022,Withdrawal Bill Payment #224428162447/BP TDS LANDFILL 800-3758375 TX Card 2675 Merchant Category Code: 4900,90,
9/1/2022,Withdrawal Bill Payment #224423162447/BP TDS LANDFILL 800-3758375 TX Card 2675 Merchant Category Code: 4900,90,
9/1/2022,Withdrawal ACH Financial Pacifi/TYPE: LEASE PYMT ID: 9118771358 CO: Financial Pacifi,524.83,
9/1/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,464.65,
9/1/2022,Withdrawal DEBIT CARD/WINGSTOP - 411 - MCOMM 512-996-9464 TX Date 08/31/22 24269792244000983865845 Card 4969Merchant Category Code: 5814,28.87,
9/1/2022,Withdrawal DEBIT CARD/INNOVATIVE URGENT CARE AN 210-4556253 TX Date 08/31/22 24755422243272438271533 Card 4969Merchant Category Code: 8011,15,
9/1/2022,Withdrawal DEBIT CARD/PP*DUTCHBROSLL CEDAR PARK TX Date 08/31/22 24492152243894922123705 Card 4969Merchant Category Code: 5814,23.4,
9/1/2022,Withdrawal DEBIT CARD/CHICK-FIL-A #02322 CEDAR PARK TX Date 08/30/22 24427332243710013933604 Card 4969Merchant Category Code: 5814,24.71,
8/31/2022,Withdrawal TRANSACTION FEES,49.5,
8/31/2022,Withdrawal LOW BALANCE FEE,6,
8/31/2022,Withdrawal POS #224323660869/POS WALGREENS STORE 905 CRYST LEANDER TX Card 4969 Merchant Category Code: 5912,52.22,
8/31/2022,Withdrawal POS #224323545761/POS WALGREENS STORE 905 CRYST LEANDER TX Card 4969 Merchant Category Code: 5912,54.41,
8/31/2022,Check 2677 Tracer 827900000549176,1584,
8/31/2022,Withdrawal POS #000000EDDN7M/POS AMAZON.COM*8N8I86EA3 SEATTLE WA Card 4969 Merchant Category Code: 4816,91.4,
8/31/2022,Check 2680 Tracer 827900000358010,671.59,
8/31/2022,Withdrawal POS #224313500154/POS LOWE'S #689 AUSTIN TX Card 2675 Merchant Category Code: 5200,23.77,
8/31/2022,"Deposit Bulk/Checks 20,726.62 Check Count 1 Deposit Number 0000019",,20726.62
8/31/2022,Withdrawal POS #224300226604/POS 7-ELEVEN 1870 S. Bagdad Roa US TX Card 4969Merchant Category Code: 5542,58.53,
8/31/2022,"Withdrawal ACH MDVIP, INC/TYPE: 8778861411 ID: 0009122507 DATA: 2722924932145 CO: MDVIP, INC NAME: Martha Hernandez",450,
8/31/2022,Withdrawal DEBIT CARD/WINGSTOP - 411 - MCOMM 512-996-9464 TX Date 08/30/22 24269792243000947023391 Card 4969Merchant Category Code: 5814,25.82,
8/31/2022,Withdrawal POS #000000EDDO7C/POS AMAZON.COM*8B5VE70P3 SEATTLE WA Card 4969 Merchant Category Code: 4816,30.82,
8/31/2022,Withdrawal DEBIT CARD/CHEVRON 0309325 AUSTIN TX Date 08/30/22 24692162242104611246959 Card 3341Merchant Category Code: 5541,13.26,
8/31/2022,Withdrawal DEBIT CARD/AMZN Mktp US*Y61OT9AQ3 Amzn.com/bill WA Date 08/30/22 24692162242104585356677 Card 0001Merchant Category Code: 5942,7.57,
8/30/2022,Withdrawal DEBIT CARD/CHEVRON 0155648 AUSTIN TX Date 08/30/22 24692162242104344134910 Card 2675Merchant Category Code: 5542,150.14,
8/30/2022,Withdrawal POS #ZOPUQFT2K540/POS AMAZON.COM*OJ6WV1FJ3 SEATTLE WA Card 4969 Merchant Category Code: 4816,181.8,
8/30/2022,Withdrawal POS #189VVD4IU7NC/POS AMAZON.COM*XB7497343 SEATTLE WA Card 0001 Merchant Category Code: 4816,39.12,
8/30/2022,Withdrawal POS #2DWD2P90E6BX/POS AMAZON.COM*1V11P9XF1 SEATTLE WA Card 0001 Merchant Category Code: 4816,111.01,
8/30/2022,Withdrawal ACH HEALTH CARE SERV/TYPE: OBPPAYMT ID: 3000027465 CO: HEALTH CARE SERV,3563.84,
8/30/2022,Withdrawal ACH GUSTO/TYPE: TAX 030616 ID: 9138864001 DATA: 3qhk CO: GUSTO,1893.21,
8/30/2022,Withdrawal POS #224220059901/POS NST THE HOME DEPOT 001471 1200 HOME DEPOT BLVD SUNSET VALLEY TX Card 2675Merchant Category Code: 5200,75.4,
8/30/2022,Withdrawal DEBIT CARD/MCDONALD'S F11177 BASTROP TX Date 08/29/22 24427332241720212176212 Card 3341Merchant Category Code: 5814,6.15,
8/29/2022,Withdrawal POS #224118621434/POS RANDALLS #3145 LEANDER TX Card 4969 Merchant Category Code: 5411,51.11,
8/29/2022,Withdrawal POS #224100965773/POS 7-ELEVEN 6111 BEE CAVE RD US AUSTIN Card 3341 Merchant Category Code: 5541,11.36,
8/29/2022,Withdrawal POS #224120905604/POS OFFICE DEPOT 00 701 S CAP AUSTIN TX Card 2675 Merchant Category Code: 5943,25.6,
8/29/2022,Withdrawal POS #224101107400/POS SHELL SERVICE STATION SAN MARCOS TX Card 2675 Merchant Category Code: 5542,58.07,
8/29/2022,"Deposit Bulk/Checks 16,512.67 Check Count 3 Deposit Number 0000038",,16512.67
8/29/2022,Withdrawal POS #224100174052/POS TARGET T-2429 135 Creekside Way New Braunfels TX Card 3341Merchant Category Code: 5411,5.17,
8/29/2022,Recurring Withdrawal DEBIT CARD/APPLE.COM/BILL 866-712-7753 CA Date 08/29/22 24692162241103443512134 Card 0718Merchant Category Code: 5818,13.87,
8/29/2022,Withdrawal ACH ALLY/TYPE: ALLY PAYMT ID: 9833122002 CO: ALLY,509.98,
8/29/2022,Withdrawal DEBIT CARD/PRO SERVE ENTERPRISE AUSTIN TX Date 08/26/22 24251382240030114052025 Card 3341Merchant Category Code: 2842,28.25,
8/28/2022,Withdrawal POS #224017830629/POS RANDALLS #3145 LEANDER TX Card 4969 Merchant Category Code: 5411,171.55,
8/28/2022,Withdrawal DEBIT CARD/APPLE.COM/BILL 866-712-7753 CA Date 08/28/22 24692162240103030254448 Card 4969Merchant Category Code: 5735,21.64,
8/28/2022,Withdrawal DEBIT CARD/CHEVRON 0309325 AUSTIN TX Date 08/28/22 24692162240102957395796 Card 3341Merchant Category Code: 5542,21.64,
8/28/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 08/27/22 24427332239740280171659 Card 3341Merchant Category Code: 5411,103.77,
8/28/2022,Withdrawal Bill Payment #224021026706/BP FORTIVA 855-802-5572 GA Card 4969 Merchant Category Code: 6051,43.85,
8/28/2022,Withdrawal DEBIT CARD/CARENOW-CEDAR PARK CEDAR PARK TX Date 08/27/22 24761972239286652900033 Card 4969Merchant Category Code: 8011,100,
8/28/2022,Withdrawal DEBIT CARD/CHICK-FIL-A #04062 LEANDER TX Date 08/26/22 24427332239710029759304 Card 4969Merchant Category Code: 5814,32.17,
8/28/2022,Withdrawal POS #223921256490/POS QT 4150 INSIDE AUSTIN TX Card 4969 Merchant Category Code: 5541,34.54,
8/27/2022,Withdrawal POS #223916706415/POS H-E-B #451 AUSTIN TX Card 3341 Merchant Category Code: 5411,101.47,
8/27/2022,Withdrawal at ATM #223919528950/ATM M179968 2009 CAPITAL OF TEXAS H TX Card 3341Merchant Category Code: 6011,500,
8/27/2022,Withdrawal POS #223916763494/POS WALGREENS STORE 905 CRYST LEANDER TX Card 4969 Merchant Category Code: 5912,25.42,
8/27/2022,Withdrawal POS #223910368465/POS MURPHY EXPRESS 8614 CEDAR PARK TX Card 3341 Merchant Category Code: 5542,37.78,
8/26/2022,Withdrawal DEBIT CARD/TARGET 00023424 CEDAR PARK TX Date 08/26/22 24164072238091017407176 Card 4969Merchant Category Code: 5411,82.89,
8/26/2022,Withdrawal POS #223817027682/POS SHELL SERVICE STATION AUSTIN TX Card 3341 Merchant Category Code: 5541,64.44,
8/26/2022,Deposit Bulk/Checks 588.88 Check Count 1 Deposit Number 0000134,,588.88
8/26/2022,Withdrawal DEBIT CARD/SHELL OIL 57546541103 CEDAR PARK TX Date 08/25/22 24316052238548701577373 Card 0001Merchant Category Code: 5542,82.57,
8/26/2022,Recurring Withdrawal Bill Payment - #223814258226/BP APPLE COM BILL CUPERTINO CA Card 4969 Merchant Category Code: 4899,9.73,
8/26/2022,Recurring Withdrawal Bill Payment - #223811423143/BP APPLE COM BILL CUPERTINO CA Card 4969 Merchant Category Code: 4899,5.4,
8/26/2022,Withdrawal DEBIT CARD/APPLE.COM/BILL 866-712-7753 CA Date 08/26/22 24692162238101264577652 Card 4969Merchant Category Code: 5735,7.1,
