Posting Date,Description,Credit,Debit,Balance,Transaction Type,Monthly
7/29/2022,ATMOS ENERGY RCR UTIL PYMT  004010813842    WEB ID: 9000000091,,-35.70,1918.79,Utilities,Y
7/27/2022,H-E-B #265 CEDAR PARK TX             719542  07/27,,-96.21,1954.49,Groceries,N
7/27/2022,WALGREENS STORE 1505 W CEDAR PARK TX 152338  07/27,,-10.00,2050.7,Groceries,N
7/27/2022,AUSTIN FAMILY MEDICINE AUSTIN TX             07/26,,-50.00,2060.7,Miscellaneous,N
7/26/2022,MONTHLY SERVICE FEE,,-25.00,2110.7,Fee,Y
7/26/2022,Online Transfer to CHK ...8098 transaction#: 14899243197 07/26,,-30.00,2135.68,?,
7/26/2022,MIX 6 NAIL LOUNGE CEDAR PARK TX              07/25,,-360.00,2165.68,Miscellaneous,N
7/26/2022,ALLSTATE    *PAYMENT 800-255-7828 IL         07/25,,-854.25,2525.68,Insurance,Y
7/25/2022,SALLY BEAUTY #39 202 W CEDAR PARK TX 146238  07/25,,-10.35,3379.93,Miscellaneous,N
7/25/2022,ATM WITHDRAWAL                       002821  07/2518811 UNI,,-300.00,3390.28,Withdrawl,N
7/25/2022,NNT LAKE LINE FOOD 002 CEDAR PARK TX 842555  07/24,,-23.80,3690.28,Food/Entertainment,N
7/25/2022,THE HOME DEPOT #6585 CEDAR PARK TX   780345  07/24,,-159.83,3714.08,Supplies,N
7/25/2022,ATM WITHDRAWAL                       009585  07/231485 CYPR,,-300.00,3873.91,Withdrawl,N
7/25/2022,SHELL SERVICE STATION CEDAR PARK TX  681182  07/23,,-34.46,4173.91,Gas,N
7/25/2022,"IN *STICKER EXPRESS, LL CEDAR PARK TX        07/23",,-18.50,4208.37,Miscellaneous,N
7/25/2022,VIVINT INC/US 800-216-5232 UT                07/23,,-80.25,4226.87,Software,Y
7/25/2022,CITY OF CEDAR PARK 512-4015000 TX            07/22,,-220.69,4307.12,Utilities,Y
7/22/2022,H-E-B #265 CEDAR PARK TX             395718  07/22,,-470.73,3827.81,Groceries,N
7/22/2022,Online Transfer to  MMA ...0920 transaction#: 14813703075 07/22,,-20.00,4298.54,Savings,N
7/22/2022,AUSTIN FAMILY MEDICINE AUSTIN TX             07/21,,-50.00,4318.54,Health,N
7/21/2022,ATM WITHDRAWAL                       009883  07/211200 N BE,,-1000.00,4368.54,Withdrawl,N
7/21/2022,H-E-B #265 CEDAR PARK TX             911412  07/21,,-13.35,5368.54,Groceries,
7/21/2022,AUSTIN FAMILY MEDICINE AUSTIN TX     560200  07/21,,-250.79,5381.89,Health,N
7/21/2022,THE HOME DEPOT 6839 AUSTIN TX                07/21 Purchase $85.45 Cash Back $20.00,,-105.45,5632.68,Supplies,N
7/21/2022,TEXAS HONE* TEXAS HO rob@texashone TX        07/21,,-57.05,5738.13,Food/Entertainment,N
7/21/2022,PAYPAL           INST XFER  ANCESTRYCOM     WEB ID: PAYPALSI77,,-42.38,5795.18,Software,Y
7/21/2022,CHEVRON 0376512 CEDAR PARK TX                07/20,,-21.22,5837.56,Gas,N
7/20/2022,ALLSTATE INS CO  INS PREM   000000416726250 WEB ID: 1360719665,,-59.53,4858.78,Insurance,Y
7/19/2022,INSUFFICIENT FUNDS FEE FOR A $111.00 ITEM - DETAILS: Synchrony Bank   CC PYMT    601918323456617 WEB ID: 9856794001,,-34.00,4918.31,Fee,N
7/19/2022,INSUFFICIENT FUNDS FEE FOR A $22.72 CARD PURCHASE - DETAILS:       0716AMZN Mktp US*UA04D1R Amzn.com/bill WA0############9903                                                                                           01456,,-34.00,4952.31,Fee,N
7/19/2022,ALLSTATE INS CO  INS PREM   000000416726183 WEB ID: 1360719665,,-49.23,4986.31,Insurance,Y
7/19/2022,CAPITAL ONE      CRCARDPMT  3M4XMUKLF0A9JK6 WEB ID: 9541719318,,-200.00,5035.54,Credit Card,Y
7/18/2022,INSUFFICIENT FUNDS FEE FOR A $239.17 ITEM - DETAILS: 5/3 INSTALL LOAN PAYMENT                    PPD ID: 1310281170,,-34.00,5235.54,Fee,N
7/18/2022,Synchrony Bank   CC PYMT    601918323456617 WEB ID: 9856794001,,-111.00,5269.54,Credit Card,Y
7/18/2022,AMZN Mktp US*UA04D1R Amzn.com/bill WA        07/16,,-22.72,5380.54,Supplies,N
7/15/2022,5/3 INSTALL LOAN PAYMENT                    PPD ID: 1310281170,,-239.17,5403.26,Loan,Y
7/14/2022,LS TITAN MOON COMICS 186-69321801 TX         07/13,,-21.84,4084.76,Miscellaneous,N
7/14/2022,AMZN Digital*M47YL52P 888-802-3080 WA        07/13,,-4.32,4106.6,Supplies,N
7/13/2022,7-ELEVEN CEDAR PARK TX                       07/13,,-21.27,4110.92,Gas,N
7/11/2022,7-ELEVEN CEDAR PARK TX                       07/11,,-11.20,4092.19,Gas,N
7/11/2022,7-ELEVEN Cedar Park TX                       07/11,,-21.76,4103.39,Gas,N
7/11/2022,Prime Video *LV9835LD 888-802-3080 WA        07/09,,-4.32,4125.15,Software,Y
7/11/2022,DD DOORDASH MARCOSPIZ 855-973-1040 CA        07/09,,-45.99,4129.47,Food/Entertainment,N
7/11/2022,H-E-B  #265 CEDAR PARK TX                    07/08,,-302.25,4175.46,Groceries,N
7/8/2022,PAYPAL           INST XFER  HULU            WEB ID: PAYPALSI77,,-2.15,412.62,Software,Y
7/8/2022,Online Transfer to  MMA ...0920 transaction#: 14704351735 07/08,,-20.00,414.77,Savings,Y
7/8/2022,CEDAR PARK REG MED CT 512-528-7000 TX        07/07,,-65.10,434.77,Health,N
7/7/2022,DOMESTIC WIRE FEE,,-35.00,399.87,Fee,N
7/7/2022,Synchrony Bank   CC PYMT    601918323456617 WEB ID: 9856794001,,-218.00,434.87,Credit Card,N
7/7/2022,Online Transfer to SAV ...3016 transaction#: 14754214167 07/07,,-6000.00,652.87,?,
7/7/2022,DOMESTIC WIRE TRANSFER VIA: UNITED HERITAGE CU/314977188 A/C: BEYOND ECO CLEANING SERVICE LLC IMAD: 0707B1QGC02C004754 TRN: 3202382188ES 07/07,,-20000.00,6652.87,Buissness,N
7/7/2022,WELLS FARGO CARD CCPYMT     90753371201723  WEB ID: 3411650794,,-472.30,26652.87,Credit Card,Y
7/7/2022,Kindle Unltd*IQ5ZC2PB 866-321-8851 WA        07/07,,-10.81,27125.17,Software,Y
7/7/2022,H-E-B #029 WEST LAKE HIL TX                  07/06,,-72.50,27135.98,Groceries,Y
7/6/2022,Online Transfer to SAV ...3016 transaction#: 14748316925 07/06,,-100.00,1084.16,?,
7/6/2022,Online Transfer to CHK ...6766 transaction#: 14748313034 07/06,,-150.00,1184.16,?,
7/6/2022,COMENITY CAPITAL BANK 800-2241714 OH         07/05,,-411.91,1334.16,Credit Card,Y
7/6/2022,PEDERNALES ELECTRIC SMARTHUB.PEC. TX         07/05,,-397.13,1746.07,Utilities,Y
7/5/2022,Online Transfer to  MMA ...0920 transaction#: 14649835507 07/05,,-20.00,2143.2,Savings,N
